title,num_frames,total_time,avg_intensity,avg_color_r,avg_color_g,avg_color_b,mean_shot_length,std_dev_shot_length,max_shot_length,min_shot_length,num_shots,stddev_color_with_letterbox_r,stddev_color_with_letterbox_g,stddev_color_with_letterbox_b,detail_score_mean,detail_score_std_dev,detail_score_max,detail_score_min,dark_scene_mean_length,dark_scene_length_std_dev,dark_scene_length_max,dark_scene_length_min,dark_scene_count,dark_scene_percentage,mean_volume,std_dev_volume,min_volume,max_volume,sudden_rise_count_per_cut,sudden_fall_count_per_cut,octave1,octave2,octave3,octave4,octave5,octave6,octave7,octave8,octave9,octave10,octave11,Drama,Horror,Thriller,Action,Comedy,Crime,Mystery,Sport,Romance,Biography,History,Animation,Adventure,Family,Documentary,Fantasy,Music,Western,Musical,Sports,Supernatural,War,News,Animaton,Short
3-Days-to-Kill,0.51177,0.59012,0.26214,0.097109,0.29207,0.46702,-0.89073,-0.82666,-0.90269,0.084348,2.252,-0.91137,-0.94495,-1.0511,0.33509,0.30183,0.13162,-0.226,-0.53704,-0.44665,-0.32648,-0.37376,2.2494,1.9104,1.6612,1.6785,3.1639,2.7616,0.69298,0.011255,-0.53949,-0.62684,0.38429,1.6251,-0.71848,-0.82425,-0.58185,-0.24805,0.47968,0.50065,0.45961,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47-Ronin,0.68359,0.76708,-0.33674,-0.42765,-0.2266,-0.60118,-0.4407,-0.37711,-0.25867,0.084348,0.5231,0.11103,0.53056,0.60032,-0.28587,0.27371,0.47319,-0.226,-0.40833,0.047136,0.060768,-0.37376,-0.097272,-0.22936,1.1154,0.84779,-0.24501,0.49989,0.76893,-0.6201,-0.40146,0.68549,2.0001,1.1158,-0.5238,-1.248,-1.3368,-1.3444,-0.0047921,0.8687,0.5576,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5-Flights-Up-aka-Ruth-Alex,0.34279,0.41608,0.91462,0.5274,1.0142,1.2124,1.3367,0.52895,0.18799,0.084348,-1.0728,-0.58598,-0.55648,-0.37173,0.54159,0.049901,-0.17832,-0.226,-0.078139,-0.1049,-0.32648,-0.37376,-0.55147,-0.60134,1.4836,-0.030613,-0.24501,0.2415,1.4064,1.0842,-0.2321,-0.55248,-0.57902,0.23652,2.8163,1.5575,-0.41322,0.3465,-1.5756,-0.76184,-1.1379,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5-to-7,0.56573,0.64569,-0.51349,-0.50166,-0.49238,-0.56805,3.2747,2.2224,1.4137,0.084348,-1.3878,-1.4341,-1.2814,-1.4795,0.11145,-0.22492,-0.94826,-0.226,-0.032575,-0.23786,-0.32648,-0.22178,-0.47577,-0.54963,-0.59758,-0.83946,-0.24501,-0.84795,0.86099,0.56508,-0.80057,-1.1086,-1.258,0.093254,1.9791,3.3622,0.81353,-1.8149,-1.0063,-0.94556,-0.94683,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6-Souls,0.51319,0.59158,-1.1562,-1.3275,-0.98917,-1.3863,-0.39507,0.05817,0.76968,0.084348,0.4041,-0.9392,-0.03252,-0.8951,-0.86003,0.24363,1.596,-0.226,-1.074,-0.95996,-1.101,-0.52575,-0.92997,-0.95448,-0.086676,0.59729,-0.24501,0.72665,0.50115,0.96727,2.5969,1.1951,0.69447,0.43128,-0.058479,-0.63106,0.090079,-0.014777,-0.089201,-0.70825,-0.62873,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6-Years,-1.0332,-1.0011,-0.7408,-0.37424,-0.89128,-0.77272,0.80784,0.20534,-0.17557,0.084348,-1.1918,-0.65433,-0.70034,-0.91542,-1.1269,-0.93608,-1.2329,-0.226,-0.1953,-0.39246,-0.64919,-0.37376,-0.70287,-0.65676,0.13524,-0.051806,-0.24501,-0.00075838,-0.59497,0.80728,-0.71187,-0.93717,0.15042,0.10331,2.4084,3.1606,1.4899,0.43214,-2.7205,-2.6778,-1.6803,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7-Minutes,-0.2522,-0.1967,-0.13241,-0.0067489,-0.18881,-0.13791,-0.58571,-0.72372,-1.1104,0.084348,0.3761,-0.052992,-0.28614,-0.38709,-0.81108,-0.76728,-0.80195,-0.226,-0.8692,-0.75163,-0.64919,-0.37376,2.9307,3.1605,-0.11362,-0.49379,-0.24501,-0.45081,2.226,1.8127,1.353,1.0772,1.06,0.92524,-0.12521,-0.66228,-0.85166,-0.87426,-0.1635,-0.060116,0.35475,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A-Birders-Guide-to-Everything,-0.034937,0.027057,1.2267,1.0584,1.2709,1.2325,-0.50476,-0.45274,-0.78843,0.084348,0.3551,0.70432,0.59598,0.52176,0.92414,0.42575,-0.079553,-0.226,-0.62697,-0.16869,-0.1974,-0.37376,0.50833,0.50276,-0.39452,-0.2288,-0.24501,0.545,0.669,-0.13215,-0.58945,0.28252,-0.93875,-0.47645,0.37167,0.20691,-0.45399,-0.42958,0.73994,0.54123,0.13566,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
About-Alex,0.29735,0.36928,0.049717,-0.18509,0.13619,0.17841,1.0642,-0.35213,-0.37293,0.084348,-0.98185,1.0979,1.3357,1.2614,-0.69292,-0.51833,-0.63833,-0.226,1.3018,0.94536,0.44802,-0.37376,-0.70287,-0.74056,-0.24452,0.045116,-0.24501,0.59663,-0.95502,-1.2783,-0.83506,-1.0115,-0.34932,0.48407,-0.10989,-0.046281,0.36174,0.85408,0.097201,-0.13478,-0.2036,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
About-Last-Night,2.0994,2.2252,-0.46244,-0.17472,-0.62138,-0.31001,2.0211,0.2974,-0.30022,0.084348,-0.96085,0.89324,0.69971,0.47656,-1.0746,-1.5387,-1.6472,-0.226,-0.97641,-0.95996,-1.0687,-0.37376,-0.85427,-0.90285,0.90467,0.31957,-0.24501,0.81915,0.63038,0.90487,-0.7707,-1.0146,-0.77789,-0.96367,0.9538,1.2873,0.84688,0.54721,0.20491,-0.43313,-1.5795,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
About-Time,0.88666,0.97621,1.1036,0.93348,1.1336,1.1995,-0.55474,-0.3353,-0.050924,0.084348,1.0061,0.66066,0.74807,0.79657,0.28966,-0.031171,0.1394,-0.226,-0.54029,-0.13808,0.060768,-0.37376,0.20553,-0.0034486,0.050487,0.24353,-0.24501,-0.055953,0.10513,-0.15157,-0.88205,-1.0508,-0.97654,-0.49853,-0.89017,-1.5763,-0.80978,0.86523,3.4054,1.3948,-0.22806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A-Brilliant-Young-Mind,-0.19682,-0.14402,1.1716,1.5207,1.1269,0.40204,0.12942,-0.32758,-0.66474,0.075012,-0.62486,2.2983,0.45225,-0.87598,0.24799,0.51927,0.14474,-0.226,0.21477,2.3181,2.5133,-0.37376,-0.17297,-0.15818,-0.37405,-0.060846,-0.24501,0.14133,-0.32228,-0.71625,-0.14951,0.080711,0.016519,-0.1737,-0.0023605,-0.4507,-2.0661,-0.69184,2.3934,1.2293,-0.42355,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A-Case-of-You,0.17239,0.24058,0.50696,0.39297,0.51614,0.65649,0.86494,-0.3965,-0.74688,0.084348,-0.91885,0.081233,-0.30136,-0.78875,0.67352,0.31123,0.20631,4.447,0.82989,-0.71173,-0.39102,2.0579,-0.77857,-0.80799,-0.093185,-0.84001,0.51362,-0.54781,0.93633,1.4153,-0.64174,-0.53683,-1.0796,-0.64825,-0.21527,-0.7039,0.59598,0.86969,1.2117,0.4551,-0.28725,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Accidental-Love,0.0034033,0.066544,0.74103,0.86867,0.68328,0.61204,-0.18073,-0.34112,-0.38332,0.084348,-0.18388,0.007734,-0.23426,-0.13865,-0.050886,0.15288,1.4065,-0.226,0.41005,0.34738,0.060768,-0.37376,-0.55147,-0.57431,-0.2442,-0.72545,-0.24501,-0.672,-1.0691,-0.78913,-0.84073,-1.0592,-0.45237,-0.3575,-0.53032,-0.83049,-0.27943,-0.53573,0.14116,1.3213,2.4649,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACOD,1.7855,0.61688,0.67619,0.50141,0.66627,1.0343,1.3351,-0.087372,-0.51739,-1.7921,-1.0168,1.2479,1.2053,0.98987,0.54275,-0.31955,0.25783,3.212,-1.074,-0.95996,-1.101,-0.52575,-0.92997,-0.95448,-1.0124,-1.5054,-0.24501,-1.3662,0.69298,0.20246,-0.75468,-1.1495,-1.6765,-1.3357,-0.18957,0.27281,0.7231,-0.37427,2.2105,1.0351,-0.82942,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Addicted,0.68643,0.77,-0.48617,-0.32111,-0.58592,-0.3262,-0.52578,-0.36695,-0.092474,0.084348,0.81009,-0.24961,0.1779,0.2461,-0.75229,-0.51278,-0.32636,-0.226,-0.78113,-0.95996,-1.0042,-0.069803,-0.85427,-0.88859,0.18228,-0.0081313,-0.24501,-0.022356,-0.52877,-0.6201,0.13766,-0.0039284,0.15193,0.25156,-0.29823,-0.28942,-0.99102,-0.55134,0.14644,0.95266,0.60592,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adore,-0.16132,-0.28311,0.78065,0.65371,0.89082,0.43977,-0.60634,-0.18116,0.35262,-0.29841,0.4461,0.43371,0.88238,0.45493,-0.68642,-0.28433,-0.54143,-0.226,-0.78864,-0.73468,-0.77827,-0.37376,0.054128,0.072102,-0.49373,-0.77846,-0.24501,-0.76207,-1.1753,-0.66358,-0.88518,-1.2494,-1.6205,-0.79643,0.75531,0.35953,0.61895,0.69663,0.25811,0.87211,-0.94862,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult-Beginners,0.13689,0.20402,1.7477,1.8697,1.6708,1.5788,0.62222,0.24097,0.50999,0.084348,-0.81386,1.893,1.5641,0.51578,0.42605,0.041618,0.75339,-0.226,-0.21971,-0.0653,-0.32648,-0.37376,-0.32437,-0.36399,-0.49073,-0.9828,-0.24501,-0.83497,0.54731,0.40804,-0.7295,-0.97169,-0.9875,-0.65487,0.99331,1.536,0.46774,0.392,-0.331,-0.33926,-0.83364,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult-World,0.0019833,0.065082,-0.25913,-0.019591,-0.31238,-0.52712,1.5114,-0.19768,-0.38332,0.084348,-1.1708,-0.01727,-0.49259,-1.0198,-0.95668,-0.36483,0.052891,-0.226,1.1716,-0.12037,0.060768,1.45,-0.62717,-0.65025,-1.9287,-1.7073,-0.24501,-1.8549,1.0722,2.199,-0.7914,-0.76195,-1.0112,-1.0054,-0.6705,1.5305,2.0217,1.5597,-0.095795,-1.2625,-1.1039,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afflicted,0.65945,0.74222,-0.66592,-0.70689,-0.62637,-0.66329,-0.86194,-0.50812,-0.33138,0.084348,2.182,0.42305,0.61598,0.42226,-1.4219,-0.29109,1.331,-0.226,-0.44916,-0.0058854,0.15758,-0.37376,2.4765,2.026,-0.09545,0.032329,-0.24501,-0.074727,-0.70163,-0.42283,-0.066759,0.37862,0.53218,-0.37313,-1.0756,-0.64701,0.98735,0.36211,-0.30462,-0.26676,0.55327,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A-Field-in-England,-0.069018,-0.012528,-0.41685,-0.22243,-0.50116,-0.40893,1.7696,0.81414,0.11353,0.075012,-1.2828,-0.24822,-0.45426,0.31613,-0.44744,0.23364,0.022392,-0.226,0.83966,1.6343,1.1902,-0.37376,-0.55147,-0.568,2.2144,1.9608,-0.24501,0.99309,-2.1296,-1.8461,0.93561,0.83742,-0.4656,-0.47391,0.058756,-0.075416,1.3928,0.099405,-0.13009,-0.5143,-0.93569,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afternoon-Delight,0.11985,0.18647,1.9409,1.6004,2.0268,2.0481,0.42154,-0.23138,-0.50797,0.084348,-0.69486,2.1204,1.7137,1.341,-0.016373,0.29637,-0.19024,-0.226,-0.14649,-0.054007,-0.29421,-0.22178,-0.62717,-0.65813,-0.041741,-0.49145,-0.24501,-0.38536,0.15239,-0.40591,-0.56236,-0.58148,-0.060962,-1.8099,-0.50776,0.54717,2.6722,1.6128,-0.59829,-1.354,-0.68057,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aftershock,-0.98635,-0.95281,-0.13793,-0.10357,-0.053666,-0.59989,-0.83107,-0.48587,-0.36255,0.084348,0.70509,1.0898,1.5055,1.0677,0.10031,0.29291,0.24659,3.3085,-1.074,-0.95996,-1.101,-0.52575,-0.92997,-0.95448,0.54929,1.223,-0.24501,0.59317,-0.35821,0.19481,-0.81573,-0.59784,1.8308,0.065855,-1.7451,-1.595,-0.79978,-0.0067482,0.52584,1.1596,1.259,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A-Haunted-House-2,-1.3584,-1.9709,0.58939,0.34927,0.79659,0.077703,-0.58222,-0.22809,-0.38457,-1.7921,-0.54787,0.11108,0.94481,0.85354,0.11982,0.12263,0.81374,-0.226,1.0089,0.78323,0.3512,-0.069803,-0.70287,-0.62524,-0.07416,0.29563,-0.24501,0.0090045,0.15533,-0.34422,-0.66734,-0.83752,-0.5422,0.056268,-1.3829,-0.91062,0.47404,2.2475,0.23041,0.083947,0.64526,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Air,-1.2931,-1.2687,-1.8339,-1.5211,-1.9098,-1.9393,2.509,3.1368,1.0501,0.084348,-1.5558,-0.76241,-1.1684,-1.382,-1.4852,-1.4617,-1.5952,4.347,-1.074,-0.95996,-1.101,-0.52575,-0.92997,-0.95448,-0.075666,-0.27234,-0.24501,-0.5017,-1.0503,-1.678,0.3559,0.6472,1.0675,2.1164,-0.15263,0.14448,-0.46511,1.0539,-1.2828,-1.4588,-0.45326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alan-Partridge,-0.14996,-0.091405,-0.49121,-0.72356,-0.37869,-0.41471,0.66435,0.22381,-0.12364,0.084348,-0.91185,-1.558,-1.4089,-1.4912,-0.0076914,-0.62156,-0.32762,3.4557,0.82989,-0.51315,-0.32648,1.754,-0.77857,-0.79696,-0.53422,-0.60757,-0.24501,-0.3658,0.77342,-0.062758,-0.68337,-1.047,-1.0676,-0.56924,0.04619,2.1884,3.2281,0.96291,-1.3206,-1.7945,-1.6626,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A-LEGO-Brickumentary,0.21357,0.28299,2.0442,1.9226,2.0368,2.0698,-0.62282,-0.48508,0.53077,0.084348,0.79609,1.6133,1.4771,1.5567,1.5624,0.88574,0.34261,-0.226,1.5988,4.4889,4.3205,-0.37376,-0.32437,-0.37374,2.2489,1.082,-0.24501,2.7048,0.91038,0.36817,0.029225,-0.087062,-0.9706,-0.57966,0.38357,0.945,-0.47067,-0.37249,0.1693,0.7361,-0.42425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Alexander-and-the-Terrible-Horrible-No-Good-Very-Bad-Day,0.61827,0.6998,0.83359,0.4779,0.91109,1.1746,-0.11336,-0.45608,-0.62223,0.084348,-0.078882,-0.56392,-0.30395,0.034652,1.4092,1.5056,1.5259,-0.226,0.24407,1.0784,0.8998,-0.37376,-0.17297,-0.28675,1.2607,0.71711,-0.24501,0.85635,0.81433,1.4628,-0.10265,-0.36873,-0.95303,-1.4521,-1.2467,-0.14236,2.2056,1.6774,-0.42683,-0.27203,0.26568,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Alex-of-Venice,0.10849,0.17477,-0.27099,-0.41702,-0.28268,0.1644,0.042168,-0.084729,-0.43526,0.084348,-0.39387,-0.59712,0.11374,0.29553,0.13126,0.088939,0.012192,-0.226,-0.82995,-0.81102,-0.97189,-0.37376,-0.77857,-0.80593,-0.68436,-1.1846,0.78557,-0.91845,0.78017,2.0971,-0.84734,-0.93998,-1.3195,-1.4525,-0.5793,0.8673,2.8282,2.0213,-0.62115,-0.81854,-1.0738,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alien-Abduction,-0.451,-0.40145,0.31827,0.45932,0.28974,0.079378,-0.90087,-0.34499,1.1332,0.084348,1.4611,1.4424,1.615,1.3175,0.87775,4.1806,4.2529,-0.226,-0.21586,0.068173,0.38347,-0.37376,1.9466,2.2648,0.2316,0.36932,-0.24501,0.32923,0.31434,0.35043,4.7181,1.4034,0.59074,0.19688,-1.1044,-0.62863,0.64897,0.019121,-0.68402,-0.46442,-0.34109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A-Little-Chaos,0.67933,0.76269,0.72071,0.61012,0.74586,0.75548,-0.028564,-0.40655,-0.38332,0.084348,-0.12088,0.78055,1.0272,1.1772,1.5444,1.2932,0.49326,-0.226,-0.57365,-0.44777,-0.64919,-0.37376,-0.32437,-0.42668,0.37815,0.90738,-0.24501,1.2565,-0.89954,-0.43531,-0.13548,1.5996,0.21572,0.8473,1.6164,0.43722,-1.9958,-1.9915,-0.87745,0.89814,-0.018819,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All-About-the-Feathers,-0.30332,-0.24935,-0.43783,-0.33746,-0.50354,-0.29609,6.2876,4.6732,2.3693,0.084348,-1.6678,-0.48118,-0.67681,0.22813,0.68633,0.31693,-0.42257,-0.226,0.87871,0.21067,-0.036043,-0.37376,-0.62717,-0.62774,-0.34144,-0.039225,-0.24501,-0.32427,0.19424,0.47014,-0.74158,-1.2238,-0.97873,0.34482,-0.96476,1.8052,1.9999,2.4968,-0.61368,-2.0463,-1.2032,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All-Cheerleaders-Die,-1.2732,-1.2482,0.73074,0.58202,0.7806,0.73526,-0.24822,-0.43404,-0.84036,0.084348,-0.64586,1.7315,1.904,1.6979,1.6746,2.992,1.303,-0.226,1.406,0.46182,0.5771,0.84208,-0.55147,-0.42057,-0.12677,-0.54835,-0.24501,-0.37328,1.9851,1.3476,0.38251,0.28213,0.44463,-0.29454,-0.53066,-1.0535,0.72977,0.55212,-0.15031,-0.091408,0.22738,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All-the-Boys-Love-Mandy-Lane,-0.33456,-0.28153,-0.44907,-0.45676,-0.45306,-0.3477,-0.66168,-0.43509,-0.35216,0.084348,0.58609,-0.029465,0.03123,0.12893,0.667,1.5365,0.91718,-0.226,-0.51774,-0.28839,0.15758,-0.37376,2.3251,2.5848,0.058283,0.74441,-0.24501,0.49231,-0.24679,-0.43221,0.48461,0.64988,1.1768,0.79203,-0.61495,-1.1942,0.15012,0.90403,-0.35737,-0.72714,0.063913,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All-the-Wilderness,-0.41976,-0.36928,0.16917,0.34592,0.10536,0.036574,-0.70543,-0.69267,-0.95463,0.084348,0.68409,0.040747,0.21869,0.095801,0.60165,1.5959,1.8283,-0.226,0.17084,-0.14912,-0.32648,-0.22178,-0.62717,-0.61825,0.64335,0.67583,3.4861,1.4021,-0.42489,-0.14698,0.97942,-0.29778,-0.84345,-0.12357,-1.1875,-0.97027,0.89988,0.28049,-1.0115,0.58244,2.6387,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Almost-Human,-1.0048,-0.97183,-1.4103,-1.4467,-1.375,-1.2912,-0.56055,-0.09856,0.7489,0.084348,-0.14888,-1.2209,-1.3751,0.14219,-1.4281,-1.3883,-0.30443,-0.226,-0.52642,0.033062,0.44802,-0.37376,2.5522,3.5726,2.2555,2.1603,-0.24501,1.5112,0.78017,0.49795,0.33004,0.39917,-0.1296,-1.4686,-1.9165,-1.3811,1.1612,0.69262,1.6152,0.53318,-0.022931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
